task_id,passed,error_type,time_ms,test_count,tests_passed,complexity,output
HumanEval/0,True,None,581.0666084289551,7,7,Hard,
HumanEval/1,False,SyntaxError,475.80552101135254,4,0,Hard,"File ""/tmp/test"", line 29
    return True, ""Test 1 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/2,True,None,535.1994037628174,3,3,Easy,
HumanEval/3,True,None,554.5330047607422,6,6,Medium,
HumanEval/4,True,None,461.73095703125,3,3,Easy,
HumanEval/5,True,None,462.60762214660645,3,3,Hard,
HumanEval/6,True,None,457.76891708374023,3,3,Hard,
HumanEval/7,True,None,476.6242504119873,4,4,Easy,
HumanEval/8,True,None,466.92490577697754,5,5,Medium,
HumanEval/9,True,None,493.82567405700684,4,4,Hard,
HumanEval/10,False,Other,444.500207901001,5,1,Medium,"JSON_RESULTS:{""total_tests"": 5, ""passed"": 1, ""failed"": 4, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert make_palindrome('jerry') == 'je"
HumanEval/11,True,None,503.0932426452637,3,3,Hard,
HumanEval/12,True,None,519.5560455322266,3,3,Hard,
HumanEval/13,True,None,461.06481552124023,4,4,Medium,
HumanEval/14,True,None,498.3479976654053,3,3,Medium,
HumanEval/15,True,None,466.6271209716797,3,3,Easy,
HumanEval/16,True,None,539.3142700195312,5,5,Easy,
HumanEval/17,True,None,489.15672302246094,5,5,Medium,
HumanEval/18,True,None,470.2785015106201,4,4,Medium,
HumanEval/19,True,None,507.1146488189697,5,5,Hard,
HumanEval/20,True,None,499.56488609313965,5,5,Hard,
HumanEval/21,True,None,529.4437408447266,5,5,Medium,
HumanEval/22,True,None,502.0170211791992,3,3,Easy,
HumanEval/23,True,None,463.6049270629883,3,3,Easy,
HumanEval/24,True,None,448.5280513763428,5,5,Medium,
HumanEval/25,True,None,481.20832443237305,8,8,Hard,
HumanEval/26,True,None,462.3117446899414,3,3,Medium,
HumanEval/27,True,None,464.4606113433838,3,3,Easy,
HumanEval/28,True,None,473.94800186157227,3,3,Easy,
HumanEval/29,True,None,510.9524726867676,2,2,Easy,
HumanEval/30,True,None,509.8295211791992,4,4,Easy,
HumanEval/31,True,None,447.53289222717285,13,13,Hard,
HumanEval/32,False,Other,448.2109546661377,1,0,Hard,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'poly' is not defined"", ""test_case"": {""assertion"": ""assert mat"
HumanEval/33,True,None,507.0922374725342,7,7,Easy,
HumanEval/34,True,None,425.8723258972168,1,1,Easy,
HumanEval/35,True,None,424.9556064605713,2,2,Medium,
HumanEval/36,True,None,465.90256690979004,8,8,Hard,
HumanEval/37,True,None,491.78123474121094,3,3,Hard,
HumanEval/38,False,Other,507.19285011291504,1,0,Easy,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'encoded_str' is not defined"", ""test_case"": {""assertion"": ""ass"
HumanEval/39,True,None,443.47405433654785,10,10,Hard,
