problem_id,loc,lloc,comments,cyclomatic_complexity,maintainability_index,cognitive_complexity,pylint_errors,pylint_warnings,security_issues
HumanEval/0,20,10,0,5.0,95.60592320426878,11,0,0,0
HumanEval/1,29,17,0,5.0,89.39865150221516,6,0,0,0
HumanEval/2,13,3,0,1.0,65.11035329571214,0,0,0,0
HumanEval/3,21,9,0,3.0,96.41268794345224,3,0,0,0
HumanEval/4,15,5,0,2.0,80.59177475763835,1,0,0,0
HumanEval/5,23,11,0,3.0,98.54578621227172,2,0,0,0
HumanEval/6,25,14,0,3.0,93.62602677033182,9,0,0,0
HumanEval/7,12,4,0,3.0,87.85234636161907,4,0,0,0
HumanEval/8,19,9,0,2.0,98.1927259229778,1,0,0,0
HumanEval/9,22,12,0,3.0,100.0,5,0,0,0
HumanEval/10,29,13,0,2.0,84.78199057976444,6,0,0,0
HumanEval/11,17,9,0,2.0,100.0,6,0,0,0
HumanEval/12,21,9,0,5.0,96.69811022142214,5,0,0,0
HumanEval/13,13,5,0,2.0,96.34454150954954,1,0,0,0
HumanEval/14,14,8,0,2.0,100.0,1,0,0,0
HumanEval/15,11,3,0,2.0,71.9331936183837,1,0,0,0
HumanEval/16,11,3,0,1.0,100.0,0,0,0,0
HumanEval/17,19,6,0,3.0,100.0,2,0,0,0
HumanEval/18,19,7,0,3.0,88.95278440078593,3,0,0,0
HumanEval/19,24,7,0,3.0,100.0,3,0,0,0
HumanEval/20,28,17,0,6.0,88.9983818246218,16,0,0,0
HumanEval/21,13,6,0,2.0,98.57814007788718,1,0,0,0
HumanEval/22,12,4,0,3.0,100.0,4,0,0,0
HumanEval/23,11,3,0,1.0,100.0,0,0,0,0
HumanEval/24,11,5,0,3.0,100.0,3,0,0,0
HumanEval/25,28,15,0,4.0,89.3347687208584,5,0,0,0
HumanEval/26,13,6,0,3.0,100.0,2,0,0,0
HumanEval/27,9,3,0,1.0,100.0,0,0,0,0
HumanEval/28,12,4,0,1.0,100.0,0,0,0,0
HumanEval/29,12,4,0,3.0,100.0,6,0,0,0
HumanEval/30,11,3,0,3.0,71.7986906944071,2,0,0,0
HumanEval/31,26,8,0,4.0,68.81514609996353,6,0,0,0
HumanEval/32,35,17,0,3.0,82.7709801117311,7,0,0,0
HumanEval/33,15,6,0,1.0,100.0,1,0,0,0
HumanEval/34,9,3,0,1.0,100.0,0,0,0,0
